State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
MI,LIVINGSTON,2,50,2,4.0,4.0
PA,LAWRENCE,2,50,2,3.0,3.0
ND,BURLEIGH,2,100,2,3.5,3.5
TX,COOKE,2,0,1,3.0,3.0
WA,PACIFIC,2,0,0,3.0,3.0
WI,VERNON,2,100,0,4.5,4.5
KS,WYANDOTTE,2,0,2,4.5,4.5
IL,MARION,2,0,1,4.0,4.0
IL,PERRY,2,50,0,4.0,4.0
TX,DE WITT,2,50,1,3.5,3.5
MO,HOWELL,2,50,1,2.0,2.0
IA,WOODBURY,2,100,2,1.0,1.0
CA,LAKE,2,50,0,3.5,3.5
MD,ANNE ARUNDEL,2,50,2,2.5,2.5
TN,CAMPBELL,2,0,2,1.5,1.5
PA,CLINTON,2,50,1,4.0,4.0
AR,CARROLL,2,50,0,4.0,4.0
IN,VIGO,2,50,2,2.0,2.0
TX,CHEROKEE,2,100,1,4.0,4.0
MA,BERKSHIRE,2,50,1,4.0,4.0
WI,FOND DU LAC,2,100,1,3.0,3.0
MT,MISSOULA,2,50,2,4.0,4.0
NM,DONA ANA,2,0,2,1.5,1.5
KY,BOYD,2,100,2,2.0,2.0
OH,FAIRFIELD,2,50,2,3.0,3.0
WI,COLUMBIA,2,100,1,3.0,3.0
MT,LAKE,2,100,0,3.5,3.5
UT,SANPETE,2,50,0,3.5,3.5
SD,GREGORY,2,100,0,nan,nan
IN,LA PORTE,2,50,2,3.0,3.0
OK,CHEROKEE,2,0,2,3.5,3.5
IL,VERMILION,2,50,1,4.0,4.0
MN,GOODHUE,2,100,1,3.5,3.5
OR,CLATSOP,2,0,0,3.0,3.0
MN,SCOTT,2,50,1,3.5,3.5
IN,MARSHALL,2,50,1,4.5,4.5
GA,COBB,2,0,2,3.0,3.0
VA,MONTGOMERY,2,50,2,2.5,2.5
WV,CABELL,2,50,2,3.0,3.0
WI,KENOSHA,2,50,2,4.5,4.5
LA,WEBSTER,2,50,2,3.5,3.5
WA,WALLA WALLA,2,50,2,4.0,4.0
KY,WARREN,2,50,2,1.5,1.5
GA,CLARKE,2,50,2,3.5,3.5
CO,YUMA,2,0,0,3.0,3.0
KY,KNOX,2,50,1,1.5,1.5
ND,WILLIAMS,2,50,0,2.0,2.0
KS,SALINE,2,50,2,4.0,4.0
ID,KOOTENAI,2,0,2,4.5,4.5
IA,BREMER,2,50,0,5.0,5.0
GA,FLOYD,2,0,2,4.0,4.0
TN,HAMBLEN,2,0,2,2.5,2.5
OH,CRAWFORD,2,0,0,3.5,3.5
MT,GLACIER,2,50,1,nan,nan
ID,CANYON,2,0,2,3.5,3.5
MN,TODD,2,50,0,4.0,4.0
SC,DARLINGTON,2,50,2,2.0,2.0
AR,DESHA,2,100,0,nan,nan
MT,BIG HORN,2,0,0,3.0,3.0
MT,CHOUTEAU,2,50,0,nan,nan
TX,BOWIE,2,0,2,4.0,4.0
VT,WINDHAM,2,100,1,4.0,4.0
VA,LOUDOUN,2,50,2,4.0,4.0
AL,ELMORE,2,50,2,4.0,4.0
NY,BROOME,2,100,2,2.0,2.0
IA,JOHNSON,2,0,2,4.0,4.0
IA,MARION,2,50,0,3.0,3.0
AL,COLBERT,2,0,2,2.5,2.5
MN,WASHINGTON,2,100,2,4.5,4.5
TX,WHEELER,2,0,0,nan,nan
IL,MACON,2,50,2,4.0,4.0
AL,COVINGTON,2,50,2,2.5,2.5
AR,LOGAN,2,50,0,nan,nan
MN,MCLEOD,2,100,1,4.0,4.0
MD,HARFORD,2,50,2,2.5,2.5
WI,MANITOWOC,2,50,2,5.0,5.0
NJ,SALEM,2,100,2,3.0,3.0
